trace_id,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@repeat,event:adaptation_action@shorten,event:adaptation_action@skip,event:resource,event:trace_id,event:@@case_index,event:@@index,event:start_weekday,event:duration,succession:concept:name@A#A,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@I#I,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
22,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,118,22,181,2,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,119,23,189,2,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
24,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,12,24,196,1,0.0,0,1,1,1,0,1,0,1,0,0,1,180.0,insert
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,120,25,206,2,20.0,0,1,1,1,1,0,1,1,1,1,1,210.0,repeat
26,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,121,26,214,2,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
27,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,122,27,221,2,0.0,0,1,1,1,0,1,0,1,0,0,1,1210.0,skip
28,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,123,28,228,3,0.0,0,1,1,1,0,1,0,1,0,0,1,1160.0,skip
29,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,124,29,235,3,0.0,0,1,1,1,0,1,0,1,0,0,1,1170.0,skip
30,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,125,30,242,3,0.0,0,1,1,1,0,1,0,1,0,0,1,240.0,repeat
31,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,126,31,252,2,0.0,1,1,1,1,1,0,1,1,0,0,1,210.0,repeat
32,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,127,32,260,2,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
33,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,128,33,268,2,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
34,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,129,34,276,3,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
35,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,13,35,283,1,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
36,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,130,36,290,3,0.0,0,1,1,1,0,1,0,1,0,0,1,180.0,insert
37,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,131,37,298,3,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,132,38,308,3,20.0,0,1,1,1,1,0,1,1,1,1,1,260.0,skip
39,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,133,39,316,3,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
40,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,134,40,323,3,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
41,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,135,41,331,3,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,136,42,339,3,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
43,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,137,43,347,3,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
44,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,138,44,357,3,0.0,1,1,1,1,1,0,1,1,0,0,1,1160.0,skip
45,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,139,45,364,4,0.0,0,1,1,1,0,1,0,1,0,0,1,1210.0,skip
46,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,14,46,371,0,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
47,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,140,47,378,4,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
48,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,141,48,385,4,0.0,0,1,1,1,0,1,0,1,0,0,1,180.0,insert
49,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,142,49,392,3,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
50,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,143,50,400,3,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,144,51,410,3,20.0,0,1,1,1,1,0,1,1,1,1,1,250.0,shorten
52,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,145,52,418,4,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
53,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,146,53,425,4,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
54,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,147,54,433,4,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,148,55,441,4,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
56,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,149,56,449,4,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,15,57,457,0,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
58,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,150,58,467,4,0.0,1,1,1,1,1,0,1,1,0,0,1,260.0,skip
59,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,151,59,475,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
60,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,152,60,483,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1120.0,skip
61,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,153,61,491,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
62,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,154,62,498,4,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
63,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,155,63,505,0,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
64,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,156,64,512,0,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
65,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,157,65,519,0,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
66,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,158,66,526,4,0.0,0,1,1,1,0,1,0,1,0,0,1,240.0,repeat
67,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,159,67,534,4,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
68,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,16,68,542,0,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
69,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,160,69,550,4,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
70,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,161,70,558,0,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
71,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,162,71,568,0,0.0,1,1,1,1,1,0,1,1,0,0,1,210.0,repeat
72,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,163,72,576,0,0.0,0,1,1,1,1,0,1,1,0,0,1,180.0,insert
73,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,164,73,584,0,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
74,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,165,74,592,0,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
75,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,166,75,599,0,0.0,0,1,1,1,0,1,0,1,0,0,1,4090.0,skip
76,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,167,76,607,0,0.0,0,1,1,1,1,0,1,1,0,0,1,4040.0,skip
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,168,77,617,0,20.0,0,1,1,1,1,0,1,1,1,1,1,4050.0,skip
78,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,169,78,625,0,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
79,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,17,79,633,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
80,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,170,80,640,0,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
81,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,171,81,647,1,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
82,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,172,82,654,1,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
83,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,173,83,661,1,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
84,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,174,84,671,0,0.0,1,1,1,1,1,0,1,1,0,0,1,180.0,insert
85,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,175,85,679,0,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
86,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,176,86,687,0,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,177,87,695,1,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
88,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,178,88,702,1,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
89,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,179,89,710,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
90,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,18,90,720,1,0.0,1,1,1,1,1,0,1,1,0,0,1,240.0,repeat
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,180,91,730,1,20.0,0,1,1,1,1,0,1,1,1,1,1,1170.0,skip
92,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,181,92,738,1,0.0,0,1,1,1,1,0,1,1,0,0,1,1160.0,skip
93,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,182,93,745,1,0.0,0,1,1,1,0,1,0,1,0,0,1,1210.0,skip
94,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,183,94,753,1,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
95,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,184,95,761,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
96,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,185,96,769,1,0.0,0,1,1,1,1,0,1,1,0,0,1,180.0,insert
97,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,186,97,779,1,0.0,1,1,1,1,1,0,1,1,0,0,1,210.0,repeat
98,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,187,98,786,2,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
99,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,188,99,793,2,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
100,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,189,100,800,2,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
101,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,19,101,808,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
102,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,190,102,815,1,0.0,0,1,1,1,0,1,0,1,0,0,1,240.0,repeat
103,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,191,103,823,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,192,104,833,1,20.0,0,1,1,1,1,0,1,1,1,1,1,200.0,no-action
105,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,193,105,841,2,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
106,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,194,106,848,2,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
107,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,195,107,856,2,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
108,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,196,108,864,2,0.0,0,1,1,1,1,0,1,1,0,0,1,1120.0,skip
109,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,197,109,872,2,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
110,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,198,110,882,2,0.0,1,1,1,1,1,0,1,1,0,0,1,260.0,skip
111,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,199,111,890,2,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
112,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,2,112,897,0,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
113,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,20,113,905,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
114,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,200,114,913,2,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
115,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,201,115,921,2,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
116,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,202,116,928,2,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
117,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,203,117,935,3,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
118,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,204,118,942,3,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
119,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,205,119,949,3,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
120,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,206,120,956,2,0.0,0,1,1,1,0,1,0,1,0,0,1,180.0,insert
121,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,207,121,964,2,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
122,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,208,122,972,2,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
123,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,209,123,980,3,0.0,0,1,1,1,1,0,1,1,0,0,1,1210.0,skip
124,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,21,124,988,1,0.0,0,1,1,1,1,0,1,1,0,0,1,1160.0,skip
125,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,210,125,998,3,0.0,1,1,1,1,1,0,1,1,0,0,1,1170.0,skip
126,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,211,126,1006,3,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
127,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,212,127,1014,3,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,213,128,1022,3,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
129,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,214,129,1029,3,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
130,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,215,130,1037,3,0.0,0,1,1,1,1,0,1,1,0,0,1,260.0,skip
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,216,131,1047,3,20.0,0,1,1,1,1,0,1,1,1,1,1,210.0,repeat
132,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,217,132,1055,3,0.0,0,1,1,1,1,0,1,1,0,0,1,180.0,insert
133,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,218,133,1062,3,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
134,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,219,134,1069,4,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
135,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,22,135,1076,1,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
136,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,220,136,1083,4,0.0,0,1,1,1,0,1,0,1,0,0,1,200.0,no-action
137,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,221,137,1090,4,0.0,0,1,1,1,0,1,0,1,0,0,1,210.0,repeat
138,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,222,138,1100,3,0.0,1,1,1,1,1,0,1,1,0,0,1,240.0,repeat
139,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,223,139,1108,3,0.0,0,1,1,1,1,0,1,1,0,0,1,1170.0,skip
140,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,224,140,1116,3,0.0,0,1,1,1,1,0,1,1,0,0,1,1160.0,skip
141,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,225,141,1124,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1210.0,skip
142,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,226,142,1131,4,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
